what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.delete.line,1228839207140
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228839207500
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.format,1228839208484
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228839209078
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228839213781
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1228839218078
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1228839222062
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228839222437
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1228839228453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839276625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839505312
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228839505421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839540140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839547296
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1228839550828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839562531
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839591953
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228839596593
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839607140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839608468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839608656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839610750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839688640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839688656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228839689562
